SALEDATE,SALESTIME,STAFF,INVNO,PLU,PROD,QTY,PRICE,DISCOUNT,TOTAL,MOP,SALESTATUS,COGS,DEPT,TAX1NAME,TAX2NAME,TAX1,TAX2,CH2,PRTFLAG,CLIENT,CITY,STATE,CUSTNO,SUPPLIER,AUTHCODE,PROCESSDAT,ACQREFDAT,RECORDNO,REFNO,COMISSION
6/7/2005,13:25,J. SALMAN,OP1-1013,UNKNOWN ITEM,SNI35,1.00,29.99,0.00,29.99,CASH,SALE,0.00,,,,33.86,0.00,0.00,FALSE,,,,,,,,,,,
6/7/2005,13:25,J. SALMAN,OP1-1013,UNKNOWN ITEM,INSTALL AMP& CUT 6X9&INS D SPK,1.00,180.00,0.00,180.00,CASH,SALE,0.00,,,,33.86,0.00,0.00,FALSE,,,,,,,,,,,
6/7/2005,16:17,J. SALMAN,OP1-1014,HL35,HI LO ADAPTOR,1.00,19.99,0.00,19.99,CASH,SALE,5.09,INSTALL,,,2.10,0.00,0.00,FALSE,,,,,,,,,,,
6/7/2005,16:17,J. SALMAN,OP1-1014,RHRCAY1,1 FEMALE 2 MALE RCA ADAPTER,2.00,3.99,0.00,7.98,CASH,SALE,0.00,INSTALL,,,2.10,0.00,0.00,FALSE,,,,,,,,,,,
6/7/2005,16:17,J. SALMAN,OP1-1014,UNKNOWN ITEM,SNI35,1.00,29.99,0.00,29.99,CASH,CREDIT,0.00,,,,2.10,0.00,0.00,FALSE,,,,,,,,,,,
6/7/2005,16:34,J. SALMAN,OP1-1015,UNKNOWN ITEM,SNI,1.00,19.99,0.00,19.99,CASH,SALE,0.00,,,,1.50,0.00,0.00,FALSE,,,,,,,,,,,
6/8/2005,14:45,J. SALMAN,OP1-1016,AS6930,6X9 SPL 300 WATT,1.00,56.00,0.00,56.00,CASH,SALE,22.49,SPEAKERS,,,4.21,0.00,0.00,FALSE,,,,,,,,,,,
6/8/2005,15:45,J. SALMAN,OP1-1017,UNKNOWN ITEM,CHECH SYSTEM,1.00,0.00,0.00,0.00,CASH,SALE,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/8/2005,15:45,J. SALMAN,OP1-1017,UNKNOWN ITEM,RPLACE WHAT NEEDED,1.00,0.00,0.00,0.00,CASH,SALE,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/8/2005,16:46,J. SALMAN,OP1-1018,,PAYMENT ON LAYAWAY #1018,1.00,0.00,0.00,0.00,,LAYAWAY,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/8/2005,17:55,J. SALMAN,OP1-1018,,PAYMENT ON LAYAWAY #1018,1.00,150.52,0.00,150.52,VISA,PAYMENT,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/9/2005,14:26,J. SALMAN,OP1-1019,UNKNOWN ITEM,4X6 TSP462,1.00,139.99,0.00,0.00,CASH,VOIDED,0.00,,,,10.53,0.00,0.00,FALSE,,,,,,,,,,,
6/9/2005,14:56,J. SALMAN,OP1-1019,MCD1000,MEMPHIS 1100W MCLASS D,1.00,649.99,0.00,0.00,CASH,VOIDED,0.00,,,,48.91,0.00,0.00,FALSE,,,,,,,,,,,
6/9/2005,14:59,J. SALMAN,OP1-1019,MCD1000,MEMPHIS 1100W MCLASS D,1.00,584.99,0.00,584.99,VISA,SALE,303.60,AMP,,,44.02,0.00,0.00,FALSE,,,,,,,,,,,
6/9/2005,17:12,J. SALMAN,OP1-1021,BMS2100,AUDIOPIPE 4 GAGE AMP KIT,1.00,49.99,0.00,49.99,CASH,SALE,13.90,ACCESSORIES,,,10.91,0.00,0.00,FALSE,,,,,,,,,,,
6/9/2005,17:12,J. SALMAN,OP1-1021,UNKNOWN ITEM,HARNESS  GMRC01,1.00,95.00,0.00,95.00,CASH,SALE,0.00,,,,10.91,0.00,0.00,FALSE,,,,,,,,,,,
6/9/2005,17:12,J. SALMAN,OP1-1021,UNKNOWN ITEM,AMP INST,1.00,55.00,0.00,55.00,CASH,SALE,0.00,,,,10.91,0.00,0.00,FALSE,,,,,,,,,,,
6/9/2005,17:12,J. SALMAN,OP1-1021,UNKNOWN ITEM,CD INST,1.00,45.00,0.00,45.00,CASH,SALE,0.00,,,,10.91,0.00,0.00,FALSE,,,,,,,,,,,
6/9/2005,17:12,J. SALMAN,OP1-1021,UNKNOWN ITEM,BOX INST,1.00,0.00,0.00,0.00,CASH,SALE,0.00,,,,10.91,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,14:42,J. SALMAN,OP1-1022,MCD1500,MEMPHIS MCLASS D AMP 1500X1,1.00,835.00,0.00,835.00,CASH,SALE,460.00,AMP,,,18.81,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,14:42,J. SALMAN,OP1-1022,MCD1000,MEMPHIS 1100W MCLASS D,1.00,584.99,0.00,-584.99,CASH,RETURN,-303.60,AMP,,,18.81,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,14:53,J. SALMAN,OP1-1023,1501S,"SINGLE 15"" BOX HATCHBACK",1.00,59.99,0.00,59.99,CASH,SALE,15.90,BOXES,,,4.51,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,16:28,40GM,OP1-1024,994000,02 UP GM MULTI KIT,1.00,17.99,0.00,17.99,CASH,SALE,0.00,INSTALL,,,2.18,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,16:28,40GM,OP1-1024,701858,88 GM TURBOWIRE,1.00,12.99,0.00,12.99,CASH,SALE,1.99,INSTALL,,,2.18,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,16:28,40GM,OP1-1024,PKBL2,AMP KIT W / RCA 8GA  BLUE & SI,1.00,35.97,0.00,35.97,CASH,SALE,10.79,ACCESSORIES,,,2.18,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,16:28,40GM,OP1-1024,UNKNOWN ITEM,RETURN GMRC01,1.00,95.00,0.00,95.00,CASH,CREDIT,0.00,,,,2.18,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,16:28,40GM,OP1-1024,UNKNOWN ITEM,BALNCE OWING #OP1-1021,1.00,55.90,0.00,55.90,CASH,SALE,0.00,,,,2.18,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,16:28,40GM,OP1-1024,BMS2100,AUDIOPIPE 4 GAGE AMP KIT,1.00,49.99,0.00,-49.99,CASH,RETURN,-13.90,ACCESSORIES,,,2.18,0.00,0.00,FALSE,,,,,,,,,,,
6/10/2005,16:28,40GM,OP1-1024,40GM10,88 UP GM ANTENNA ADAPTOR CABLE,1.00,11.99,0.00,11.99,CASH,SALE,3.11,INSTALL,,,2.18,0.00,0.00,FALSE,,,,,,,,,,,
6/11/2005,10:13,J. SALMAN,OP1-1009,,PAYMENT ON LAYAWAY #1009,1.00,180.00,0.00,180.00,CASH,PAYMENT,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/11/2005,10:14,J. SALMAN,OP1-1025,UNKNOWN ITEM,PARTYBACK,1.00,179.99,0.00,179.99,CASH,SALE,0.00,,,,13.54,0.00,0.00,FALSE,,,,,,,,,,,
6/11/2005,12:40,J. SALMAN,OP1-1026,PRC57,MEMPHIS 5 X 7 PRCLASS,2.00,99.99,0.00,199.98,CASH,SALE,92.00,SPEAKER,,,15.05,0.00,0.00,FALSE,,,,,,,,,,,
6/13/2005,10:07,J. SALMAN,OP1-1027,994544,82 UP GM MULTI KIT W/ EQ,1.00,17.99,0.00,17.99,CASH,SALE,5.42,INSTALL,,,1.35,0.00,0.00,FALSE,,,,,,,,,,,
6/13/2005,10:11,J. SALMAN,OP1-1028,UNKNOWN ITEM,PARTS,1.00,4.99,0.00,4.99,CASH,SALE,0.00,,,,0.38,0.00,0.00,FALSE,,,,,,,,,,,
6/13/2005,10:47,J. SALMAN,OP1-1029,DS40,KICKER 4,1.00,59.99,0.00,59.99,CASH,SALE,26.00,SPEAKER,,,12.04,0.00,0.00,FALSE,,,,,,,,,,,
6/13/2005,10:47,J. SALMAN,OP1-1029,DS40,KICKER 4,1.00,59.99,0.00,59.99,CASH,SALE,26.00,SPEAKER,,,12.04,0.00,0.00,FALSE,,,,,,,,,,,
6/13/2005,10:47,J. SALMAN,OP1-1029,UNKNOWN ITEM,INSTALL 2 PAIR SPK,1.00,40.00,0.00,40.00,CASH,SALE,0.00,,,,12.04,0.00,0.00,FALSE,,,,,,,,,,,
6/13/2005,18:15,J. SALMAN,OP1-1030,UNKNOWN ITEM,INSTALL ALARM W/ ENGN START/KE,1.00,160.00,0.00,160.00,VISA,SALE,0.00,,,,25.58,0.00,0.00,FALSE,,,,,,,,,,,
6/13/2005,18:15,J. SALMAN,OP1-1030,APS786,PRESTIGE REMOTE START/ALARM,1.00,179.99,0.00,179.99,VISA,SALE,39.99,ALARMS,,,25.58,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,12:09,J. SALMAN,OP1-1031,APS25CH,PRESTIGE ALARM W/KEYLESS,1.00,75.00,0.00,75.00,CASH,SALE,40.00,ALARMS,,,7.52,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,12:09,J. SALMAN,OP1-1031,UNKNOWN ITEM,INSTALL BASIC ALARM,1.00,24.99,0.00,24.99,CASH,SALE,0.00,,,,7.52,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,12:13,J. SALMAN,OP1-1032,UNKNOWN ITEM,ADD KEYLESS ENTRY TO ALARM,1.00,39.99,0.00,39.99,CASH,SALE,0.00,,,,3.01,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,12:18,J. SALMAN,OP1-1033,APS25CH,PRESTIGE ALARM W/KEYLESS,1.00,39.99,0.00,-39.99,CASH,RETURN,-40.00,ALARMS,,,-3.01,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,15:48,J. SALMAN,OP1-1034,1002S,"DUAL 10"" HATCHBACK BOX",1.00,59.99,0.00,59.99,CASH,SALE,16.90,BOXES,,,4.51,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,18:09,J. SALMAN,OP1-1035,DS693,KICKER 6 X 9 3-WAY,1.00,109.99,0.00,-109.99,CASH,RETURN,-51.00,SPEAKER,,,31.98,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,18:09,J. SALMAN,OP1-1035,UNKNOWN ITEM,CUT 6X9 HALL & INSTALL,1.00,70.00,0.00,70.00,CASH,CREDIT,0.00,,,,31.98,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,18:09,J. SALMAN,OP1-1035,UNKNOWN ITEM,KICKER 15 CVR,2.00,229.99,0.00,459.98,CASH,SALE,0.00,,,,31.98,0.00,0.00,FALSE,,,,,,,,,,,
6/14/2005,18:09,J. SALMAN,OP1-1035,1502S,"DUAL 15"" HATCHBACK BOX",1.00,75.00,0.00,75.00,CASH,SALE,23.90,BOXES,,,31.98,0.00,0.00,FALSE,,,,,,,,,,,
6/15/2005,12:50,ABDEL.R.HAYYEH,OP1-1037,,PAYMENT ON LAYAWAY #1037,1.00,0.00,0.00,0.00,,LAYAWAY,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/15/2005,13:14,ABDEL.R.HAYYEH,OP1-1038,CDP,LABOR HEAD UNIT,1.00,55.00,0.00,55.00,VISA,SALE,0.00,LABOR,,,7.53,0.00,0.00,FALSE,,,,,,,,,,,
6/15/2005,13:14,ABDEL.R.HAYYEH,OP1-1038,MS3,LABOR 1 HOUR,1.00,45.00,0.00,45.00,VISA,SALE,0.00,LABOR,,,7.53,0.00,0.00,FALSE,,,,,,,,,,,
6/15/2005,16:01,ABDEL.R.HAYYEH,OP1-1039,LC2,REMOTE LEVEL AMP W/ LOC,1.00,149.99,0.00,149.99,CASH,SALE,12.95,INSTALL,,,11.29,0.00,0.00,FALSE,,,,,,,,,,,
6/15/2005,18:08,ABDEL.R.HAYYEH,OP1-1040,RELAY,12 VOLT RELAY,1.00,20.00,0.00,20.00,CASH,SALE,0.99,INSTALL,,,1.50,0.00,0.00,FALSE,,,,,,,,,,,
6/16/2005,10:23,ABDEL.R.HAYYEH,OP1-1042,LCK,LABOR DOOR LOCK,1.00,0.00,0.00,0.00,CASH,SALE,0.00,LABOR,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/16/2005,18:43,ABDEL.R.HAYYEH,OP1-1043,HL35,HI LO ADAPTOR,1.00,19.99,0.00,19.99,CASH,SALE,5.09,INSTALL,,,3.01,0.00,0.00,FALSE,,,,,,,,,,,
6/16/2005,18:43,ABDEL.R.HAYYEH,OP1-1043,BMS700,AUDIOPIPE 10 GAGE AMP KIT,1.00,19.99,0.00,19.99,CASH,SALE,5.49,ACCESSORIES,,,3.01,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,13:51,J. SALMAN,OP1-1044,33SP,33SP,1.00,5.99,0.00,5.99,CASH,SALE,0.00,BAS BLOCK CAP,,,0.45,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,13:52,J. SALMAN,OP1-1045,33SP,33SP,1.00,5.99,0.00,5.99,CASH,SALE,0.00,BAS BLOCK CAP,,,0.45,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,13:56,J. SALMAN,OP1-1047,33SP,33SP,1.00,5.99,0.00,5.99,CASH,SALE,0.00,BAS BLOCK CAP,,,0.45,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,13:57,J. SALMAN,OP1-1048,16GS,16 GAUGE SPEAKER WIRE,10.00,0.25,0.00,2.50,CASH,SALE,0.00,INSTALL,,,0.19,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,16:41,J. SALMAN,OP1-1049,,PAYMENT ON LAYAWAY #1049,1.00,0.00,0.00,0.00,,LAYAWAY,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,16:46,J. SALMAN,OP1-1050,APS25CH,PRESTIGE ALARM W/KEYLESS,1.00,99.99,0.00,99.99,CASH,SALE,40.00,ALARMS,,,10.53,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,16:46,J. SALMAN,OP1-1050,UNKNOWN ITEM,INSTALL ALARM W/KEYLESS,1.00,39.99,0.00,39.99,CASH,SALE,0.00,,,,10.53,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,16:57,J. SALMAN,OP1-1051,DB155,CLARION CD 4X51 WO/REM,1.00,99.99,0.00,99.99,CASH,SALE,72.63,CD,,,10.52,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,16:57,J. SALMAN,OP1-1051,707001,94 UP MITSUBISHI TURBOWIRE,1.00,12.99,0.00,12.99,CASH,SALE,2.49,INSTALL,,,10.52,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,16:57,J. SALMAN,OP1-1051,UNKNOWN ITEM,INSTALL RADIO,1.00,26.80,0.00,26.80,CASH,SALE,0.00,,,,10.52,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,17:16,J. SALMAN,OP1-1052,AMP20,"ADIOPIPE 20"" RCA",1.00,8.99,0.00,8.99,CASH,SALE,1.70,ACC,,,4.97,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,17:16,J. SALMAN,OP1-1052,AGU,FUSE,1.00,2.00,0.00,2.00,CASH,SALE,0.24,INSTALL,,,4.97,0.00,0.00,FALSE,,,,,,,,,,,
6/17/2005,17:16,J. SALMAN,OP1-1052,UNKNOWN ITEM,INSTALL AMP,1.00,55.00,0.00,55.00,CASH,SALE,0.00,,,,4.97,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,10:42,J. SALMAN,OP1-1053,16GS,16 GAUGE SPEAKER WIRE,20.00,0.25,0.00,5.00,CASH,SALE,0.00,INSTALL,,,1.88,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,10:42,J. SALMAN,OP1-1053,HL35,HI LO ADAPTOR,1.00,19.99,0.00,19.99,CASH,SALE,5.09,INSTALL,,,1.88,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,11:35,J. SALMAN,OP1-1055,,PAYMENT ON LAYAWAY #1055,1.00,0.00,0.00,0.00,,LAYAWAY,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,11:57,J. SALMAN,OP1-1056,705511,90-00 FORD AMP INTEGRATOR,1.00,14.99,0.00,14.99,CASH,SALE,2.49,INSTALL,,,1.13,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,12:42,J. SALMAN,OP1-1057,PRC63,MEMPHIS 6.5 3-WAY,1.00,89.99,0.00,89.99,CASH,SALE,44.00,SPEAKER,,,6.77,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,13:23,J. SALMAN,OP1-1058,UNKNOWN ITEM,KX2002,1.00,199.99,0.00,0.00,PRICE QUOTE,VOIDED,0.00,,,,46.27,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,13:23,J. SALMAN,OP1-1058,UNKNOWN ITEM,C108,2.00,79.99,0.00,0.00,PRICE QUOTE,VOIDED,0.00,,,,46.27,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,13:23,J. SALMAN,OP1-1058,BMS1500,AUDIOPIPE 8 GAGE AMP KIT,1.00,29.99,0.00,0.00,PRICE QUOTE,VOIDED,0.00,,,,46.27,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,13:23,J. SALMAN,OP1-1058,UNKNOWN ITEM,CUSTOM BOX,1.00,159.99,0.00,0.00,PRICE QUOTE,VOIDED,0.00,,,,46.27,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,13:23,J. SALMAN,OP1-1058,UNKNOWN ITEM,INSTALL AMP +SUBS,1.00,65.00,0.00,0.00,PRICE QUOTE,VOIDED,0.00,,,,46.27,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,13:28,J. SALMAN,OP1-1058,UNKNOWN ITEM,"CUSTOM BOX 10"" QAD 04 DODGE",1.00,159.99,0.00,159.99,VISA,SALE,0.00,,,,12.04,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:08,J. SALMAN,OP1-1059,4GB,4 GUAGE GROUND,2.00,1.85,0.00,3.70,CASH,SALE,0.00,INSTALL,,,0.39,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:08,J. SALMAN,OP1-1059,UNKNOWN ITEM,4GUAGE RING TERMINAL,1.00,1.50,0.00,1.50,CASH,SALE,0.00,,,,0.39,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:34,J. SALMAN,OP1-1060,UNKNOWN ITEM,"7/16/05, F DOR+ BK + AMP",1.00,0.00,0.00,0.00,CASH,SALE,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:41,J. SALMAN,OP1-1061,4GR,4 GUAGE POSITIVE,4.00,1.85,0.00,7.40,MASTERCARD,SALE,0.00,INSTALL,,,14.51,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:41,J. SALMAN,OP1-1061,4GB,4 GUAGE GROUND,4.00,1.85,0.00,7.40,MASTERCARD,SALE,0.00,INSTALL,,,14.51,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:41,J. SALMAN,OP1-1061,16GS,16 GAUGE SPEAKER WIRE,28.00,0.25,0.00,7.00,MASTERCARD,SALE,0.00,INSTALL,,,14.51,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:41,J. SALMAN,OP1-1061,UNKNOWN ITEM,PARTS,2.00,1.50,0.00,3.00,MASTERCARD,SALE,0.00,,,,14.51,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:41,J. SALMAN,OP1-1061,UNKNOWN ITEM,PARTS,2.00,1.50,0.00,3.00,MASTERCARD,SALE,0.00,,,,14.51,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:41,J. SALMAN,OP1-1061,UNKNOWN ITEM,BOARD,1.00,5.00,0.00,5.00,MASTERCARD,SALE,0.00,,,,14.51,0.00,0.00,FALSE,,,,,,,,,,,
6/18/2005,16:41,J. SALMAN,OP1-1061,UNKNOWN ITEM,INSTALL  2AMP+CAP+RADIO,1.00,160.00,0.00,160.00,MASTERCARD,SALE,0.00,,,,14.51,0.00,0.00,FALSE,,,,,,,,,,,
6/20/2005,11:12,J. SALMAN,OP1-1062,UNKNOWN ITEM,INSTALL ALRM CAR START,1.00,160.00,0.00,160.00,MASTERCARD,SALE,0.00,,,,27.84,0.00,0.00,FALSE,,,,,,,,,,,
6/20/2005,11:12,J. SALMAN,OP1-1062,PRO9800,FULL SECURITY SYSTEM W/REMOTE,1.00,209.99,0.00,209.99,MASTERCARD,SALE,134.74,ACCESSORIES,,,27.84,0.00,0.00,FALSE,,,,,,,,,,,
6/20/2005,13:20,J. SALMAN,OP1-1063,,PAYMENT ON LAYAWAY #1063,1.00,0.00,0.00,0.00,,LAYAWAY,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/21/2005,12:50,ABDEL.R.HAYYEH,OP1-1066,,PAYMENT ON LAYAWAY #1066,1.00,0.00,0.00,0.00,VISA,LAYAWAY,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/21/2005,14:23,ABDEL.R.HAYYEH,OP1-1066,,PAYMENT ON LAYAWAY #1066,1.00,227.93,0.00,227.93,VISA,PAYMENT,0.00,,,,0.00,0.00,0.00,FALSE,,,,,,,,,,,
6/21/2005,18:33,ABDEL.R.HAYYEH,OP1-1067,APS25CH,PRESTIGE ALARM W/KEYLESS,1.00,93.00,0.00,93.00,CASH,SALE,40.00,ALARMS,,,7.00,0.00,0.00,FALSE,,,,,,,,,,,
6/22/2005,13:25,J. SALMAN,OP1-1068,997890,90-94 INTEGRA/ACCORD TURBOKIT,1.00,19.99,0.00,19.99,VISA,SALE,6.49,INSTALL,,,5.87,0.00,0.00,FALSE,,,,,,,,,,,
6/22/2005,13:25,J. SALMAN,OP1-1068,701720,86-98 HONDA/ACURA TURBOWIRE,1.00,12.99,0.00,12.99,VISA,SALE,1.99,INSTALL,,,5.87,0.00,0.00,FALSE,,,,,,,,,,,
6/22/2005,13:25,J. SALMAN,OP1-1068,UNKNOWN ITEM,INSTALL RADIO,1.00,45.00,0.00,45.00,VISA,SALE,0.00,,,,5.87,0.00,0.00,FALSE,,,,,,,,,,,
6/22/2005,14:24,J. SALMAN,OP1-1069,701720,86-98 HONDA/ACURA TURBOWIRE,1.00,12.99,0.00,-12.99,VISA,RETURN,-1.99,INSTALL,,,-0.98,0.00,0.00,FALSE,,,,,,,,,,,
6/22/2005,18:56,J. SALMAN,OP1-1070,AW1251SE,"12"" AUDIOBAHN 800 WATT",2.00,59.99,0.00,119.98,CASH,SALE,73.04,SUBS,,,9.03,0.00,0.00,FALSE,,,,,,,,,,,
