Part #,Description,UPC,Base Price,Discounted Base, Map ,MSRP,Case Qty
RP4.2TY13,RADIOPRO RADIO REPLACEMENT INTERFACE WITH SWC RETENTION FOR TOYOTA,609098901093,147.25,125.16,0,369,0
RP4-AD11,RADIOPRO4 INTERFACE FOR AUDI VEHICLES WITH CAN BUS,606523109185,153.14,130.17,0,379,16
RP4-CH11,RADIOPRO4 INTERFACE FOR CHRYSLER VEHICLES WITH CAN-BUS,- None -,150.24,127.7,0,379,16
RP4-CH21,RADIOPRO RADIO REPLACEMENT INTERFACE FOR SELECT VEHICLES WITH MS CAN-BUS AND 52-PIN DOCK & LOCK HARNESS,609098814706,153.14,130.17,0,379,16
RP4-FD11,RADIOPRO4 INTERFACE FOR FORD VEHICLES WITH CAN BUS,606523109154,150.24,127.7,0,379,16
RP4-GM11,RADIO PRO4 CLASS II CHIME RETENTION MODULE. NAV OUTPUTS BOSE AND SWI INCLUDED,606523109321,137.07,116.51,0,339,16
RP4-GM31,RADIOPRO4 INTERFACE FOR GENERAL MOTORS VEHICLES WITH GM LAN 29 BIT DATA-BUS,606523109147,150.24,127.7,0,379,16
RP4-GM32,RADIOPRO4 INTERFACE FOR GM 29 BIT VEHICLES W/44PIN CONN NON ONSTAR,606523109338,153.14,130.17,0,379,16
RP4-GM41,RADIOPRO4 INTERFACE FOR GENERAL MOTORS VEHICLES WITH GM LAN 29 BIT V2 DATA-BUS WITH 44 PIN CONNECTOR,606523109307,153.14,130.17,0,379,4
RP4-HD11,RADIOPRO4 INTERFACE FOR HONDA VEHICLES WITH MSCAN,606523109383,153.14,130.17,0,379,16
RP4-MZ11,RADIOPRO4 INTERFACE FOR MAZDA VEHICLES WITH CAN BUS,606523109239,153.14,130.17,0,379,16
RP4-NI11,RADIOPRO4 INTERFACE FOR NISSAN VEHICLES WITH CAN,609098813747,153.14,130.17,0,379,16
RP4-NI13,RADIOPRO RADIO REPLACEMENT INTERFACE WITH SWC RETENTION FOR NISSAN,609098902137,147.25,125.16,0,369,16
RP4-VW11,RADIOPRO4 INTERFACE FOR VW VEHICLES WITH CAN-BUS,- None -,153.14,130.17,0,379,16
RP5-GM11,RADIO PRO5 CLASS II CHIME RETENTION MODULE W/10A ACC. NAV OUTPUTS ONSTAR/BOSE AND SWI INCLUDED,- None -,160,136,0,399,16
RP5-GM31,RADIOPRO5 INTERFACE FOR GENERAL MOTORS VEHICLES WITH GM LAN 29 BIT DATA-BUS ONSTAR AND STEERING WHEEL CONTROLS,- None -,179.41,152.5,0,449,16
RP5-GM32,RADIOPRO5 INTERFACE FOR GENERAL MOTORS VEHICLES WITH GM LAN 29 BIT DATA-BUS ONSTAR AND STEERING WHEEL CONTROLS WITH 44 PIN CONNECTOR.   16 Per case,606523109260,183.76,156.2,0,459,16
RP5-GM41,RADIOPRO5 INTERFACE FOR GENERAL MOTORS VEHICLES WITH GM LAN 29V2 BIT DATA-BUS ONSTAR AND STEERING WHEEL CONTROLS WITH 44 PIN,606523109314,183.76,156.2,0,459,16
RP5-GM51,RADIOPRO5 INTERFACE FOR 2014 GMC SIERRA AND SILVERADO RADIO REPLACEMENT WITH BUILT-IN STEERING CONTROL RETENTION,609098813891,183.76,156.2,0,459,16
RP5-GM61,RADIOPRO INTERFACE FOR GM VEHICLES WITH ONSTAR AND MOST50 BOSE AMP RETENTION,609098905176,188.7,160.4,0,469,16
RPA-16P5V,5 CAMERA INPUT HARNESS FOR USE WITH RPK4- FD2101,609098829427,21.38,18.17,0,59,200
RPA-KNOB1, CLIMATE CONTROL KNOB SET FOR CAMARO,609098829311,67.35,57.25,139,179,30
RPA-SPDIF,AMPLIFIER RETENTION MODULE FOR USE WITH RADIOPRO,609098817226,63.37,53.86,0,169,100
RPA-VA1,Differential to Single ended Composite Video Adapter,609098831307,21.81,18.54,0,59,200
RPK4-CH4101,"2013-2019 RAM Trucks (8.4"" radio) Integrated Dash kit",609098830836,458.57,389.78,0,999,6
RPK4-CH4102,***Serialized*** 2014-2019 Dodge Durango Integrated Dash kit,609098830843,458.57,389.78,0,999,4
RPK4-CH4103,***Serialized*** 2014-2019 Jeep Grand Cherokee Integrated Dash kit,609098830850,458.57,389.78,0,999,4
RPK4-FD2101,"***Serialized*** 2015-2019 FORD F-SERIES PICKUP (8"" radio) RADIO REPLACEMENT KIT WITH INTEGRATED CLIMATE CONTROLS",609098828451,500.69,425.59,0,999,10
RPK4-FD2201,***Serialized*** 2015-2016 FORD F-SERIES PICKUP COMPLETE RADIO REPLACEMENT KIT WITH INTEGRATED CLIMATE CONTROLS RADIOPRO4 RP4,609098824019,282.56,240.18,529,599,1
RPK4-HD1101,RADIO REPLACEMENT SOLUTION WITH INTEGRATED CLIMATE CONTROLS FOR 2003-2007 HONDA ACCORD,609098818964,291.24,247.55,629,699,9
RPK5-GM4101,***Serialized*** 2010-2015 CHEVROLET CAMARO RADIO REPLACEMENT SOLUTION WITH INTEGRATED CLIMATE CONTROLS,609098818704,328.9,279.57,689,749,4
RPK5-GM4102,***Serialized*** INTEGRATED RADIO REPLACEMENT KIT FOR CHEVY CAMARO 2010-2015,609098828314,380.12,323.1,689,749,4
SAT-01,factory satellite FAKRA antenna to an aftermarket satellite radio.,609098825832,13.19,11.21,0,29,300
SAT02,OEM Satellite Retention Cable For Select Toyota Vehicles,609098901451,11.16,9.49,19,29,0
SHB-CH03,JEEP JK / JL / JT Speaker connector adapter harness bundle  Dash and Door,609098902458,17.12,14.55,0,39,0
SHB-FD04,Speaker Harness Bundle for Select Ford Vehicles Includes Harness Pair for Midrange & Tweeter Fits Front or Rear Speaker Locations,609098902441,18.69,15.89,0,39,250
SNI-1,SIGNAL ISOLATOR,606523100007,9.92,8.43,0,19,100
SNI-1/3.5,GROUND LOOP ISOLATOR W/3.5MM PLUGS,606523105842,8.87,7.54,0,19,100
SNI-15,10:1 REDUCTION,606523100021,7.88,6.7,0,19,100
SNI-35,VARIABLE LINE CONV.,606523100038,8.67,7.37,0,19,100
SNI-50A,ADJUSTABLE HIGH POWER LINE OUTPUT CONVERTER 50 WATTS MAX,606523108539,19.46,16.54,0,49,96
SWI-ADAPT,TWO-WIRE WIRE RESISTIVE SWC ADAPTER FOR OTHER BRAND RADIOS,609098825887,16.18,13.75,0,39,100
SWI-CP2,***Serialized*** STEERING WHEEL CONTROL INTERFACE. CAN-BUS COMPATIBLE.,609098818582,54.06,45.95,99,149,24
SWI-CP5,STEERING WHEEL CONTROL ADAPTOR WITH BUILT IN CAN BUS. SMARTPHONE APP COMPATIBLE IPHONE AND ANDROID,609098813860,148.91,126.57,0,349,96
TATO,TOYOTA AMP TURN ON,606523107648,81.1,68.94,0,209,32
TL-PTG2,"TONE GENERATOR & POLARITY TESTER , EACH",606523109109,23.53,20,0,59,50
TL-RRF,FORD RADIO REMOVAL TOOL,606523108140,7.71,6.55,0,19,200
TR1,VIDEO LOCKOUT BYPASS TRIGGER DEVICE FOR OFF-ROAD/MARINE USE,609098818452,8.48,7.21,0,29,500
TR-4,LOW VOLTAGE TRIGGER,606523104913,16.15,13.73,0,39,500
TR7,UNIVERSAL TRIGGER OUTPUT MODULE,606523105637,35.65,30.3,0,79,100
TY1A-RS,***Serialized*** RADIOPRO ADVANCED FOR TOYOTA 01-16 WITH SWC AND ANTENNA ADAPT RP4.2-TY11 EQUIVALENT ELEV8 COMPATIBLE (FUTURE),609098832366,147.43,125.32,259,349,10
USBAUX3,MOUNTABLE USB AND AUX PORT RELOCATE WITH WATERPROOF COVER,609098831581,26.37,22.41,0,69,150
USBCDMA3,3 Foot USB-C Extension Cable  With Dash Mount,609098902182,20.11,17.09,39,59,100
USBCH1,"OEM USB Hub Replacement 2013+ Chrysler, Jeep, Dodge and RAM",609098900669,34.43,29.27,89,109,0
USBDMA1,12 INCH SHORT USB DASH MOUNT ADAPTOR CABLE. CONNECTS TO ANY STANDARD USB CABLE. USB TYPE A MALE TO USB TYPE A FEMALE EXTENSION,609098823562,9.66,8.21,0,29,100
USBDMA3,3 USB Dash-mount cable. USB type A Male to Female,609098827249,17.99,15.29,0,49,200
USBDMA6,USB DASH-MOUNT ADAPTOR CABLE. CABLE LENGTH 6 FOOT. CONNECTS TO ANY STANDARD USB CABLE. USB TYPE A MALE TO USB TYPE A,609098823579,17.99,15.29,0,49,100
USB-GM1,USB-GM1 OEM USB PORT RETENTION CABLE FOR GM AND CHRYSLER. FEMALE MINI USB TO STANDARD MALE USB.,609098816786,10.56,8.98,0,29,200
USB-HY1,USB PORT RETENTION CABLE FOR HYUNDAI AND KIA VEHICLES 2009 AND NEWER,609098813723,14.96,12.72,0,39,200
USB-NI1,USB PORT RETENTION CABLE FOR NISSAN VEHICLES 2011 AND NEWER W/ 8 PIN CONNECTOR,609098813709,13.93,11.84,0,39,200
USB-NI2,USB PORT RETENTION CABLE FOR NISSAN VEHICLES 2010 AND NEWER W/ 4 PIN CONNECTOR,609098813716,13.93,11.84,0,39,200
USB-TY1,USB PORT RETENTION CABLE FOR TOYOTA VEHICLES 2012 AND NEWER,609098813686,10.56,8.98,0,29,200
USB-TY2,USB PORT RETENTION CABLE FOR TOYOTA AND LEXUS VEHICLES 2010 AND NEWER,609098813693,10.56,8.98,0,29,200
USBTY3,OEM USB Retention Cable For Select Toyota Vehicles,609098901444,9.59,8.15,19,29,0
VOLT-39,SELECTABLE OUTPUT VOLTAGE REGULATOR FOR POWERING COMPONENTS REQUIRING 3.5 5 6 OR 9 VOLTS,609098822947,19.43,16.52,0,49,200
VR5,5PK OF 5K VARIABLE RESISTORS FOR SECURITY INTEGRATION,606523108393,25.16,21.39,0,59,500
VS41,VIDEO/CAMERA SWITCHER 4 IN/1 OUT WITH TURN SIGNAL SIDE CAM ACTIVATION DIRECT CONNECT TO SELECT BCI AND RP INTERFACES,609098819015,118.9,101.07,0,309,40
AP4-FD32,***Serialized*** Amplifier Integration Interface for Select Ford vehicles with Amplified System,609098908375,331.3,281.61,479,549,32
AP4-GM81,*** SERIALIZED*** GM A2B AmpPro,609098908368,331.3,281.61,479,549,
