"Dealer Name","Contact 1","Email","Tax Number","Dealer Address","Dealer Phone","Tax Exempt","Dealer ID"
"Hills Truck & Equipment","","","004K08918871F-01","10777 Road 5","","","77"
"Unique Auto Trim Inc","","","004xxxxx8844f01","3333 S Seneca St","","","78"
"A1 Auto Sales","","","004465009017f01","4435 S Broadway","","","79"
"AZ Window Tinting","AZ Window Tinting","","","1221 E Harry St","(316) 262-2270","Y","8"
"O Reilly Auto","","","004860221312f01","544 N Tyler Rd","","","80"
"Jake's Automotive","","ELLIOTTJAKE5400@GMAIL.COM","004-861378084-F01","801 W 52nd St S,","(316) 806-9763","Y","8084"
"LC Motors","","","004k09244271f01","3933 S Broadway St","","","81"
"Gerber collision","","","0045221989","5617 W Kellog DR","","","82"
"LTG Enterprise","","","004815415055f01","1211 E 1st St","","","83"
"Discount Auto Sales","","","004481162035f01","3330 E Macarthur Rd","","","84"
"DBA Unique Auto Appearance","","","","12012 E Kellogg Dr","","","85"
"Devlin Rod and Customs","","","004680596179f01","1811 E Douglas Ave","","","86"
"B B Auto Sales","","","004480699655f01","241 S Hydraulic St","","","87"
"Berrys Auto","","","004k09163522f01","705 E 15th N","","","88"
"All American Automotive","","","004481147054f01","8535 W 21st N St","","","89"
"Brother Maintenance Services","Basilio Reynoso","","","","(316) 880-2110","F","9"
"Hanks Motors","","","004481173286f01","4800 Oliver","","","90"
"A Z Auto Windows Tinting","","","036264062376f01","1221 E Harry St","","","91"
"Alexanders Automotive","","","004k08409213f01","145 N Hillside St","","","92"
"Devlin Rod and Customs","","","004680596179f01","1611 E Douglas Ave","","","93"
"Mel Hambelton Ford","","","004480970440f01","11771 W Kellog St","","","94"
"Miracle Cars LLC","","","82-2124913","1515 E LEWIS","(316) 925-1219","Y","95"
"LEGENDS MOTORS LLC","","","92-3916453","6159 N BROADWAY AVE","","Y","96"
"TRACY AUTOMOTIVE INC","","","004-203387879F-01","3804 W MAPLE ST","(316) 945-3414","Y","97"
"California Custom Sounds","","Zack@californiacustomsounds.com",""," 5097 N Springboro Pike","(937) 298-2254","Y","98"
"SMART START INTERLOCK","","Leah.Lichti@smartstartinc.com","","500 E DALLAS RD STE 100","(620) 747-0950","Y","99"
